"SIF_STR","NAZIV","NASLOV","POSTA","KRAJ","TEKST","NAZIV1","SKUP","X","Y","TOT_DIST_km","TOT_TIME_min","TOT_TIME_h_min"
7187,"DRAGER SLOVENIJA, d.o.o.","NADGORIŠKA CESTA 19",1231,"LJ-ČRNUČE","OSTALO","PE LENART","1231 NADGORIŠKA CESTA 19","14,55689928","46,10004825",273,247,04:07
7330,"DRAGO KROPEC, s.p.","TRNOVEC PRI SLOVENSKI BISTRICI 6",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRNOVEC PRI SLOVENSKI BISTRICI 6","15,65272302","46,355937",102,101,01:41
7591,"DRUŠTVO ZA VARSTVO IN PROTI MUČENJU ŽIVALI MA","AVTOMOBILSKA ULICA 25",2000,"MARIBOR","OSTALO","PE LENART","2000 AVTOMOBILSKA ULICA 25","15,6759385","46,51921548",54,54,00:54
7591,"DRUŠTVO ZA VARSTVO IN PROTI MUČENJU ŽIVALI MA","AVTOMOBILSKA ULICA 25",2000,"MARIBOR","OSTALO","PE LENART","2000 AVTOMOBILSKA ULICA 25","15,6759385","46,51921548",54,54,00:54
7597,"DRUŠTVO ZA VARSTVO IN PROTI MUČENJU ŽIVALI MA","AVTOMOBILSKA ULICA 25",2000,"MARIBOR","OSTALO","PE LENART","2000 AVTOMOBILSKA ULICA 25","15,6759385","46,51921548",54,54,00:54
7598,"DRUŠTVO ZA VARSTVO IN PROTI MUČENJU ŽIVALI MA","AVTOMOBILSKA ULICA 25",2000,"MARIBOR","OSTALO","PE LENART","2000 AVTOMOBILSKA ULICA 25","15,6759385","46,51921548",54,54,00:54
7438,"DRUŽINSKO PODJETJE KOSIČ, d.o.o.","RUPERČE 13",2231,"PERNICA","OSTALO","PE LENART","2231 RUPERČE 13","15,75012365","46,57114075",27,49,00:49
7438,"DRUŽINSKO PODJETJE KOSIČ, d.o.o.","RUPERČE 13",2231,"PERNICA","OSTALO","PE LENART","2231 RUPERČE 13","15,75012365","46,57114075",27,49,00:49
7535,"DURS DRAVOGRAD","MARIBORSKA CESTA 3",2370,"DRAVOGRAD","OSTALO","PE LENART","2370 MARIBORSKA CESTA 3","15,02705237","46,59008219",161,172,02:52
7070,"DURS MARIBOR","TITOVA CESTA 10",2000,"MARIBOR","OSTALO","PE LENART","2000 TITOVA CESTA 10","15,65071034","46,55765305",44,54,00:54
7508,"DUŠAN REISMAN, s.p.","NOVO NASELJE 5",2215,"CERŠAK","OSTALO","PE LENART","2215 NOVO NASELJE 5","15,66656775","46,69855886",67,69,01:09
7558,"DVOJEZIČNA OŠ GENTEROVCI","ŠOLSKA ULICA 2",9223,"DOBROVNIK V PRE","OSTALO","PE LENART","9223 ŠOLSKA ULICA 2","16,40491308","46,61690851",113,113,01:53
7426,"DVOJEZIČNA OŠ I  LENDAVA","KRANJČEVA ULICA 44",9220,"LENDAVA","OSTALO","PE LENART","9220 KRANJČEVA ULICA 44","16,45994749","46,55623543",128,119,01:59
7512,"ECOLAB, d.o.o. - interseroh","VAJNGERLOVA ULICA 4",2000,"MARIBOR","INTERSEROH","PE LENART","2000 VAJNGERLOVA ULICA 4","15,61187208","46,55784106",49,67,01:07
